series,RMSSE_sing,RMSSE_multi,model,improvement_pct
dis_intensivist,0.7361311601094799,0.8012799260056346,xgb,-8.85015733968734
adm_general_medicine,0.5607899551692274,0.7265003529720617,ridge,-29.54945898644504
adm_haematology_clinical,0.28885783301388307,0.8205830015720669,ridge,-184.07850083560936
adm_endoscopy,0.8026638150306492,1.2428541920793534,ridge,-54.84118865279803
adm_other,0.5342130495841245,0.6908361353219555,ridge,-29.31846870078508
adm_general_surgery,0.5006671503835787,0.6306215667087878,ridge,-25.956249820993143
adm_trauma_orthopaedics,0.5914814374524011,0.7136811898283131,ridge,-20.65994714935511
adm_ophthalmology,0.6384869442744915,0.7583165779978539,ridge,-18.767750037477125
adm_cardiology,0.41824863482812646,0.46649484081752995,ridge,-11.53529311798701
adm_urology,0.3891689296834965,0.6466241429474083,ridge,-66.15513049135119
adm_thoracic_medicine,0.7490322485579255,0.7899480996416994,ridge,-5.462495261391907
adm_gastroenterology,0.5203792095095346,0.5627467102498004,ridge,-8.141658999059121
adm_dermatology,0.33497295805482635,0.5756329063153109,ridge,-71.84458998063205
adm_gynaecology,0.5685824701517781,0.6074008896984621,ridge,-6.827227637939968
adm_neurology,0.39665523319491397,0.42253541061291117,ridge,-6.524602539475342
adm_gastroenterology_nurses,0.5587316090976163,0.5252579167491922,ridge,5.991014612988526
adm_geriatric_medicine,0.8132345227404202,1.1958646702020796,ridge,-47.05040634186072
adm_gen_med_endoscopy_nurse,0.5103295911361126,0.6301968257078789,ridge,-23.488199911142498
adm_ear_nose_and_throat,0.6337368440790823,0.654144109036831,ridge,-3.220148102230605
adm_nephrology,0.6838284257009221,0.8313785120531605,ridge,-21.577062433606798
adm_neurosurgery,0.6355520203746087,1.0361288824239276,ridge,-63.02817852946324
adm_renal_surgery,0.6125463731901121,0.8918848831446619,ridge,-45.602834688216056
adm_mental_illness,0.521998312164945,0.9273165066097125,ridge,-77.64741475192588
adm_vascular_surgery,0.757603410541725,1.07868944962,ridge,-42.381810141097716
adm_rheumatology,0.7748404093230958,0.9734150426624245,ridge,-25.627810701406812
adm_oral_surgery,0.6242219139102336,0.8761447833328172,ridge,-40.35790218329493
adm_teenage_cancer_trust_unit,0.3885921739020345,1.073292799195061,ridge,-176.20031263564303
adm_obstetrics,0.8622453785711818,1.5970384676889777,ridge,-85.21855928476117
adm_rehabilitation,0.5005376873126777,1.1992053336565762,ridge,-139.58342479563427
adm_intensivist,0.7569175693515852,1.5611143488847259,ridge,-106.2462825670776
dis_general_medicine,0.4494498851491204,0.7661924309212872,ridge,-70.47338451695825
dis_haematology_clinical,0.28192320469204557,0.8187023315910612,ridge,-190.3990583128331
dis_endoscopy,0.8039915698486347,1.2408329252918384,ridge,-54.33407162782149
dis_other,0.5049548723277084,0.6736955354327929,ridge,-33.416978893031505
dis_general_surgery,0.4889640724255164,0.5559278967929482,ridge,-13.69503980839662
dis_trauma_orthopaedics,0.5736678165494986,0.6405590014279962,ridge,-11.660264520473735
dis_ophthalmology,0.6450314656871228,0.7592186547275491,ridge,-17.702576558616084
dis_cardiology,0.3884070434364954,0.4889889041521516,ridge,-25.89599298347981
dis_urology,0.40259311473524445,0.6751254760428146,ridge,-67.6942429794892
dis_thoracic_medicine,0.6154708086815905,0.629241783044385,ridge,-2.2374699447230526
dis_gastroenterology,0.4791415543887982,0.5377851670401538,ridge,-12.239308428625538
dis_dermatology,0.3341683602556071,0.5750677213451781,ridge,-72.08921901083212
dis_gynaecology,0.6036885464642108,0.6553399485083194,ridge,-8.55596852824684
dis_neurology,0.3738082785143392,0.3938931702455015,ridge,-5.373046260769716
dis_gastroenterology_nurses,0.5584586801391151,0.5252123310488989,ridge,5.953233475023512
dis_geriatric_medicine,0.7494660196769615,0.8793620728417041,ridge,-17.33181355183135
dis_gen_med_endoscopy_nurse,0.5143768116452149,0.6345063213791338,ridge,-23.35437893276899
dis_ear_nose_and_throat,0.6631660477532494,0.7177691230889548,ridge,-8.233695847472292
dis_nephrology,0.6411349993626768,0.7215650570949793,ridge,-12.544948850437795
dis_neurosurgery,0.6543149150948986,0.8679029048876294,ridge,-32.64299572962556
dis_renal_surgery,0.638381750215404,0.8722171894318913,ridge,-36.62940538910865
dis_mental_illness,0.538779079572789,0.8201548502308034,ridge,-52.224702355021655
dis_vascular_surgery,0.758914743574212,0.9718393620948587,ridge,-28.056460929701977
dis_rheumatology,0.714827706619809,0.9295142332897063,ridge,-30.033324769276366
dis_oral_surgery,0.5856909137999335,0.8335232136424346,ridge,-42.314520168082765
dis_teenage_cancer_trust_unit,0.3910823796806138,1.064500616001095,ridge,-172.19344856969607
