pscore,model,method,specialty,horizon_range
3.513288013554987,lgb,Multi,adm_haematology_clinical,8-14
2.5525794957882404,lgb,Multi,adm_haematology_clinical,8-14
3.6245025390336076,lgb,Multi,adm_haematology_clinical,8-14
3.8055754529093613,lgb,Multi,adm_haematology_clinical,8-14
2.8716427379802516,lgb,Multi,adm_haematology_clinical,8-14
3.9285695726554652,lgb,Multi,adm_haematology_clinical,8-14
3.406954132125306,lgb,Multi,adm_haematology_clinical,8-14
4.328593941897924,lgb,Multi,adm_haematology_clinical,8-14
4.122503204097587,lgb,Multi,adm_haematology_clinical,8-14
3.187527636852351,lgb,Multi,adm_haematology_clinical,8-14
4.024004149997524,lgb,Multi,adm_haematology_clinical,8-14
4.859804463148734,lgb,Multi,adm_haematology_clinical,8-14
2.859231895829238,lgb,Multi,adm_haematology_clinical,8-14
5.468984638383439,lgb,Multi,adm_haematology_clinical,8-14
4.933457553657612,lgb,Multi,adm_haematology_clinical,8-14
4.426040059674822,lgb,Multi,adm_haematology_clinical,8-14
2.863763481610389,lgb,Multi,adm_haematology_clinical,8-14
2.935702728721647,lgb,Multi,adm_haematology_clinical,8-14
5.086937462611388,lgb,Multi,adm_haematology_clinical,8-14
3.926589362215426,lgb,Multi,adm_haematology_clinical,8-14
3.9104921504602785,lgb,Multi,adm_haematology_clinical,8-14
3.6168120533635553,lgb,Multi,adm_haematology_clinical,8-14
3.7408167421809444,lgb,Multi,adm_haematology_clinical,8-14
5.902677159426129,lgb,Multi,adm_haematology_clinical,8-14
4.063028187195738,lgb,Multi,adm_haematology_clinical,8-14
6.343756077970373,lgb,Multi,adm_haematology_clinical,8-14
2.862738944743511,lgb,Multi,adm_haematology_clinical,8-14
7.454625029104797,lgb,Single,adm_haematology_clinical,15-21
3.720863740534824,lgb,Single,adm_haematology_clinical,15-21
3.87515054173728,lgb,Single,adm_haematology_clinical,15-21
3.3388401300780948,lgb,Single,adm_haematology_clinical,15-21
3.369798188322137,lgb,Single,adm_haematology_clinical,15-21
2.804945521042234,lgb,Single,adm_haematology_clinical,15-21
16.48783074175122,lgb,Single,adm_haematology_clinical,15-21
10.13223906530962,lgb,Single,adm_haematology_clinical,15-21
5.357057863866755,lgb,Single,adm_haematology_clinical,15-21
8.83657456006227,lgb,Single,adm_haematology_clinical,15-21
4.164337832335603,lgb,Single,adm_haematology_clinical,15-21
2.3309889776741195,lgb,Single,adm_haematology_clinical,15-21
3.4425283243465232,lgb,Single,adm_haematology_clinical,15-21
3.1015977903805756,lgb,Single,adm_haematology_clinical,15-21
3.709415579688682,lgb,Single,adm_haematology_clinical,15-21
6.8665482322864175,lgb,Single,adm_haematology_clinical,15-21
4.33297168834053,lgb,Single,adm_haematology_clinical,15-21
4.356804802986515,lgb,Single,adm_haematology_clinical,15-21
3.4602553512809946,lgb,Single,adm_haematology_clinical,15-21
